"sender","receiver","ligand","receptor","score"
"B-cells","CAFs","HLA-DRA","CD63",1015.75258471414
"B-cells","CAFs","HLA-DRA","CD81",170.165148602573
"B-cells","CAFs","B2M","TAP1",74.3070991941857
"B-cells","CAFs","HLA-DRA","CD9",68.36530604071
"B-cells","CAFs","HLA-DRB1","CD81",64.2204352219163
"B-cells","CAFs","HLA-A","APLP2",25.7748105404729
"B-cells","CAFs","HLA-DRA","CD82",20.1038049634071
"B-cells","CAFs","CD99","CD99",19.7268728918959
"B-cells","CAFs","HLA-DMA","CD74",18.5069198218704
"B-cells","CAFs","B2M","TAP2",18.0331471766894
"B-cells","CAFs","IFITM1","CD81",16.4756089094407
"B-cells","CAFs","LTB","TNFRSF1A",13.8947773059685
"B-cells","CAFs","CALR","LRP1",12.450865990234
"B-cells","CAFs","HMGB1","SDC1",10.7810268353961
"B-cells","CAFs","LGALS1","ITGB1",10.3224122249705
"B-cells","CAFs","MIF","CD74",10.2323703647159
"B-cells","CAFs","HLA-DMB","CD74",9.33009024842185
"B-cells","CAFs","TIMP1","CD63",7.96248038038051
"B-cells","CAFs","LTB","LTBR",7.73199243105484
"B-cells","CAFs","PSAP","LRP1",7.72845771311537
"B-cells","Cancer Epithelial","HLA-DRA","CD9",370.0890075229
"B-cells","Cancer Epithelial","HLA-DRA","CD63",266.313342058889
"B-cells","Cancer Epithelial","B2M","TAP1",72.8541488296585
"B-cells","Cancer Epithelial","HLA-DRA","CD82",59.9788115890832
"B-cells","Cancer Epithelial","HLA-A","APLP2",38.2266984528916
"B-cells","Cancer Epithelial","HLA-A","ERBB2",28.6169745384291
"B-cells","Cancer Epithelial","HLA-DRA","CD81",24.863097804358
"B-cells","Cancer Epithelial","HLA-DRB1","CD82",22.6360416100268
"B-cells","Cancer Epithelial","HLA-DMA","CD74",19.7270135944318
"B-cells","Cancer Epithelial","MIF","CD74",10.9069532494258
"B-cells","Cancer Epithelial","B2M","TAP2",10.5796575116014
"B-cells","Cancer Epithelial","HLA-DMB","CD74",9.94518909356207
"B-cells","Cancer Epithelial","HLA-DRB1","CD81",9.38334891176885
"B-cells","Cancer Epithelial","CD44","EPCAM",8.46138150794257
"B-cells","Cancer Epithelial","IL16","CD9",7.81610130721969
"B-cells","Cancer Epithelial","CD44","CLDN7",7.08301683434483
"B-cells","Cancer Epithelial","HMGB1","SDC1",6.8991923202418
"B-cells","Cancer Epithelial","LTB","LTBR",6.44511004681956
"B-cells","Cancer Epithelial","MIF","CD44",5.19047389335378
"B-cells","Cancer Epithelial","LTB","TNFRSF1A",4.99914660374149
"B-cells","Endothelial","HLA-DRA","CD63",422.805956985251
"B-cells","Endothelial","HLA-DMA","CD74",396.145194917543
"B-cells","Endothelial","HLA-DRA","CD9",249.457794527748
"B-cells","Endothelial","MIF","CD74",219.026417773133
"B-cells","Endothelial","HLA-DMB","CD74",199.712888780743
"B-cells","Endothelial","HLA-DRA","CD81",164.662383779973
"B-cells","Endothelial","B2M","TAP1",149.353695938688
"B-cells","Endothelial","HLA-DRB1","CD81",62.1436882808806
"B-cells","Endothelial","HLA-A","APLP2",51.2326993029881
"B-cells","Endothelial","B2M","TAP2",47.5651990701751
"B-cells","Endothelial","COPA","CD74",39.4580901097659
"B-cells","Endothelial","APP","CD74",30.9790028303754
"B-cells","Endothelial","HMGB1","THBD",19.4985647322573
"B-cells","Endothelial","LTB","TNFRSF1A",18.2998446417686
"B-cells","Endothelial","IFITM1","CD81",15.9428241301699
"B-cells","Endothelial","CCL5","ACKR1",11.9807225239534
"B-cells","Endothelial","CD99","CD99",9.45833255303396
"B-cells","Endothelial","TGFB1","ENG",8.77936801677107
"B-cells","Endothelial","LTB","CD40",8.66388112310999
"B-cells","Endothelial","LTB","LTBR",8.19768938695734
"B-cells","Myeloid","HLA-DMA","CD74",1013.55268908488
"B-cells","Myeloid","MIF","CD74",560.38749822725
"B-cells","Myeloid","HLA-DRA","CD63",555.457069312227
"B-cells","Myeloid","HLA-DMB","CD74",510.97309285997
"B-cells","Myeloid","HLA-DRA","CD37",172.470544503308
"B-cells","Myeloid","RPS19","C5AR1",167.386785757191
"B-cells","Myeloid","HLA-DRA","CD81",153.959374106531
"B-cells","Myeloid","B2M","TAP1",148.27605181067
"B-cells","Myeloid","HLA-DRA","CD9",145.063938811986
"B-cells","Myeloid","HLA-DRA","CD53",137.707063029234
"B-cells","Myeloid","HLA-DRA","CD4",106.837928792702
"B-cells","Myeloid","B2M","LILRB1",106.551952172453
"B-cells","Myeloid","COPA","CD74",100.955038329397
"B-cells","Myeloid","APP","CD74",79.2609680156057
"B-cells","Myeloid","HLA-DRB1","CD37",65.0904930999237
"B-cells","Myeloid","HLA-A","APLP2",60.3220687199101
"B-cells","Myeloid","HLA-DRB1","CD81",58.1043656284016
"B-cells","Myeloid","HLA-DRB1","CD53",51.9707330995482
"B-cells","Myeloid","HLA-B","LILRB2",48.0942633312898
"B-cells","Myeloid","HLA-DPB1","CD4",44.5596415602685
"B-cells","Normal Epithelial","HLA-DRA","CD9",356.73346573236
"B-cells","Normal Epithelial","HLA-DRA","CD63",289.209273916377
"B-cells","Normal Epithelial","B2M","TAP1",59.7301939269084
"B-cells","Normal Epithelial","HLA-DMA","CD74",56.3894607220378
"B-cells","Normal Epithelial","HLA-DRA","CD82",53.7095695554651
"B-cells","Normal Epithelial","HLA-A","APLP2",38.2865185466591
"B-cells","Normal Epithelial","HLA-DRA","CD81",33.9143837248418
"B-cells","Normal Epithelial","MIF","CD74",31.1774110618141
"B-cells","Normal Epithelial","HLA-DMB","CD74",28.4282183453734
"B-cells","Normal Epithelial","CALM1","MYLK",27.5051607421569
"B-cells","Normal Epithelial","CALM2","MYLK",24.9888145048254
"B-cells","Normal Epithelial","HLA-DRB1","CD82",20.2700256824598
"B-cells","Normal Epithelial","HLA-DRB1","CD81",12.7993099702172
"B-cells","Normal Epithelial","HLA-A","ERBB2",9.51244980279793
"B-cells","Normal Epithelial","IL16","CD9",7.53403870734306
"B-cells","Normal Epithelial","CD44","CLDN7",6.95330935508793
"B-cells","Normal Epithelial","LTB","LTBR",6.91883832356725
"B-cells","Normal Epithelial","B2M","TAP2",6.88920444071805
"B-cells","Normal Epithelial","LTB","TNFRSF1A",6.54589354288043
"B-cells","Normal Epithelial","COPA","CD74",5.61667906352973
"B-cells","Plasmablasts","HLA-DRA","CD63",109.138874007056
"B-cells","Plasmablasts","HLA-DMA","CD74",96.8037409810641
"B-cells","Plasmablasts","B2M","TAP1",78.5546307979036
"B-cells","Plasmablasts","MIF","CD74",53.5222360037308
"B-cells","Plasmablasts","HLA-DMB","CD74",48.8026991218087
"B-cells","Plasmablasts","HLA-DRA","CD37",33.3502069374696
"B-cells","Plasmablasts","HLA-DRA","CD9",21.0364350913769
"B-cells","Plasmablasts","HLA-DRA","CD53",16.2170619116762
"B-cells","Plasmablasts","B2M","LILRB1",14.4150946934153
"B-cells","Plasmablasts","HLA-DRB1","CD37",12.5863892921308
"B-cells","Plasmablasts","HLA-DRA","LAG3",9.96834961959156
"B-cells","Plasmablasts","COPA","CD74",9.64214834257506
"B-cells","Plasmablasts","HMGB1","SDC1",8.6797460096599
"B-cells","Plasmablasts","HLA-DRA","CD19",8.56534289655219
"B-cells","Plasmablasts","HLA-DRA","CD81",8.36780861272642
"B-cells","Plasmablasts","HMGB1","CXCR4",8.33201000358499
"B-cells","Plasmablasts","APP","CD74",7.57016216356612
"B-cells","Plasmablasts","B2M","TAP2",6.55150692721659
"B-cells","Plasmablasts","HLA-DRB1","CD53",6.1203294713478
"B-cells","Plasmablasts","HLA-DRA","CD82",6.01011792947951
"B-cells","PVL","HLA-DRA","CD63",663.908194500253
"B-cells","PVL","HLA-DRA","CD81",167.628813341903
"B-cells","PVL","HLA-DRA","CD9",158.50980454881
"B-cells","PVL","B2M","TAP1",71.7463829735853
"B-cells","PVL","HLA-DRB1","CD81",63.2632206827078
"B-cells","PVL","HLA-A","APLP2",29.951250166191
"B-cells","PVL","CALM1","MYLK",26.9781706400688
"B-cells","PVL","HLA-DRA","CD82",25.430498053026
"B-cells","PVL","CALM2","MYLK",24.5100367936021
"B-cells","PVL","B2M","TAP2",23.5058338867932
"B-cells","PVL","IFITM1","CD81",16.2300376619719
"B-cells","PVL","HLA-DRA","CD4",13.6630668492706
"B-cells","PVL","LGALS1","ITGB1",12.8268343403973
"B-cells","PVL","LTB","TNFRSF1A",12.6703020832151
