"subtype","sender","receiver","total_score"
"ER+","B-cells","CAFs",1645.16862398759
"ER+","B-cells","Cancer Epithelial",1059.30465386169
"ER+","B-cells","Endothelial",2221.37734892761
"ER+","B-cells","Myeloid",4568.20207419799
"ER+","B-cells","Normal Epithelial",1222.42315420506
"ER+","B-cells","Plasmablasts",487.00528189535
"ER+","B-cells","PVL",1477.20902078118
"ER+","B-cells","T-cells",2391.8241621874
"ER+","CAFs","B-cells",4834.14632823814
"ER+","CAFs","Cancer Epithelial",2449.10546558768
"ER+","CAFs","Endothelial",7634.79057874479
"ER+","CAFs","Myeloid",6150.02202619716
"ER+","CAFs","Normal Epithelial",3543.18923599723
"ER+","CAFs","Plasmablasts",1215.73901989331
"ER+","CAFs","PVL",6364.86091317608
"ER+","CAFs","T-cells",5718.38798900209
"ER+","Cancer Epithelial","B-cells",3578.0219998046
"ER+","Cancer Epithelial","CAFs",793.840036471448
"ER+","Cancer Epithelial","Endothelial",2464.60650988368
"ER+","Cancer Epithelial","Myeloid",5822.95359671258
"ER+","Cancer Epithelial","Normal Epithelial",556.944962932424
"ER+","Cancer Epithelial","Plasmablasts",348.429522866423
"ER+","Cancer Epithelial","PVL",616.091047095669
"ER+","Cancer Epithelial","T-cells",1973.90619987107
"ER+","Endothelial","B-cells",3588.66747386079
"ER+","Endothelial","CAFs",2272.63780367599
"ER+","Endothelial","Cancer Epithelial",929.271822633806
"ER+","Endothelial","Myeloid",5177.41818623595
"ER+","Endothelial","Normal Epithelial",1270.17167019932
"ER+","Endothelial","Plasmablasts",534.017144112369
"ER+","Endothelial","PVL",1705.80748836959
"ER+","Endothelial","T-cells",2945.64221534457
"ER+","Myeloid","B-cells",8477.22869278084
"ER+","Myeloid","CAFs",4858.10484712068
"ER+","Myeloid","Cancer Epithelial",2760.66629122042
"ER+","Myeloid","Endothelial",6391.16317099104
"ER+","Myeloid","Normal Epithelial",3224.28385648669
"ER+","Myeloid","Plasmablasts",1087.29955025794
"ER+","Myeloid","PVL",3804.3425298532
"ER+","Myeloid","T-cells",4780.05568469089
"ER+","Normal Epithelial","B-cells",2736.29608117997
"ER+","Normal Epithelial","CAFs",1040.66232856649
"ER+","Normal Epithelial","Cancer Epithelial",461.784101708547
"ER+","Normal Epithelial","Endothelial",2315.90538517985
"ER+","Normal Epithelial","Myeloid",4352.70951925283
"ER+","Normal Epithelial","Plasmablasts",329.952490550114
"ER+","Normal Epithelial","PVL",830.636186203414
"ER+","Normal Epithelial","T-cells",1978.78205815007
"ER+","Plasmablasts","B-cells",842.86668021664
"ER+","Plasmablasts","CAFs",308.34422765596
"ER+","Plasmablasts","Cancer Epithelial",131.946134428438
"ER+","Plasmablasts","Endothelial",667.321097255541
"ER+","Plasmablasts","Myeloid",1272.18465496247
"ER+","Plasmablasts","Normal Epithelial",187.95171628362
"ER+","Plasmablasts","PVL",238.607372048096
"ER+","Plasmablasts","T-cells",855.735664504459
"ER+","PVL","B-cells",2256.08331219254
"ER+","PVL","CAFs",2325.4821543445
"ER+","PVL","Cancer Epithelial",725.8087274627
"ER+","PVL","Endothelial",2910.28967110409
"ER+","PVL","Myeloid",2945.06720208432
"ER+","PVL","Normal Epithelial",1098.53157304423
"ER+","PVL","Plasmablasts",412.397418494738
"ER+","PVL","T-cells",2512.24889791546
"ER+","T-cells","B-cells",1551.34238367984
"ER+","T-cells","CAFs",678.637107588923
"ER+","T-cells","Cancer Epithelial",435.059461672201
"ER+","T-cells","Endothelial",1777.93117993326
"ER+","T-cells","Myeloid",2230.76105998051
"ER+","T-cells","Normal Epithelial",605.212994067587
"ER+","T-cells","Plasmablasts",329.755766497103
"ER+","T-cells","PVL",649.7511214092
"HER2+","B-cells","CAFs",1494.98939540561
"HER2+","B-cells","Cancer Epithelial",1336.78038735522
"HER2+","B-cells","Endothelial",2266.74423626182
