"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"0.IL7R",0,2.17504420361698,0.832,0.303,0,"0","IL7R"
"0.CCR7",0,2.0024601167057,0.387,0.118,0,"0","CCR7"
"0.CD3E",0,0.529557614043941,0.704,0.435,0,"0","CD3E"
"0.ANXA1",0,1.70536080231861,0.714,0.446,0,"0","ANXA1"
"0.CD3D",0,0.580391091394824,0.65,0.387,0,"0","CD3D"
"0.LTB",0,0.720628373903498,0.557,0.318,0,"0","LTB"
"0.CD40LG",0,2.82418842045454,0.26,0.044,0,"0","CD40LG"
"0.CXCR4",0,1.0076086363602,0.849,0.649,0,"0","CXCR4"
"0.GPR183",0,1.20465508327754,0.463,0.266,0,"0","GPR183"
"0.LEPROTL1",0,1.14635282337634,0.568,0.383,0,"0","LEPROTL1"
"0.TRAT1",0,1.55017547887424,0.281,0.103,0,"0","TRAT1"
"0.SLC2A3",0,1.12484872360775,0.588,0.415,0,"0","SLC2A3"
"0.KLRB1",0,1.19302279061823,0.319,0.15,0,"0","KLRB1"
"0.RGCC",0,0.964895280910947,0.653,0.492,0,"0","RGCC"
"0.YPEL5",0,1.09309208635724,0.661,0.503,0,"0","YPEL5"
"0.CAMK4",0,1.32954273771363,0.251,0.111,0,"0","CAMK4"
"0.RORA",0,1.02995897971556,0.312,0.175,0,"0","RORA"
"0.LDHB",0,1.06649114184574,0.614,0.479,0,"0","LDHB"
"0.SPOCK2",0,0.635739027184839,0.35,0.219,0,"0","SPOCK2"
"0.CD6",0,1.1231234523881,0.265,0.14,0,"0","CD6"
"0.ICOS",0,0.903159611406614,0.292,0.169,0,"0","ICOS"
"0.ITK",0,1.02359306027972,0.262,0.142,0,"0","ITK"
"0.TNFAIP3",0,0.747425794464369,0.716,0.596,0,"0","TNFAIP3"
"0.TRAC",0,0.603233198077423,0.402,0.283,0,"0","TRAC"
"0.FLT3LG",0,1.25091867551112,0.25,0.131,0,"0","FLT3LG"
"0.CD3G",0,0.57259983422608,0.354,0.236,0,"0","CD3G"
"0.FYN",0,0.798367279198392,0.343,0.226,0,"0","FYN"
"0.TUBA4A",0,0.648780996338168,0.419,0.303,0,"0","TUBA4A"
"0.TRBC2",0,0.500464931468901,0.444,0.33,0,"0","TRBC2"
"0.PTGER4",0,1.11531795840197,0.345,0.234,0,"0","PTGER4"
"0.CREM",0,0.848850541293892,0.603,0.495,0,"0","CREM"
"0.TRBC1",0,0.53281328512563,0.343,0.237,0,"0","TRBC1"
"0.BIRC3",0,0.616053965538828,0.496,0.39,0,"0","BIRC3"
"0.TSC22D3",0,0.784752080848428,0.84,0.737,0,"0","TSC22D3"
"0.PPP2R5C",0,0.801167041125775,0.387,0.286,0,"0","PPP2R5C"
"0.RHOH",0,0.536010629368026,0.48,0.383,0,"0","RHOH"
"0.ARHGAP15",0,0.96729307308285,0.353,0.257,0,"0","ARHGAP15"
"0.ZFP36L2",0,0.760850751579752,0.862,0.768,0,"0","ZFP36L2"
"0.FAM177A1",0,0.995719566460616,0.45,0.358,0,"0","FAM177A1"
"0.AIM1",0,1.29324453229099,0.258,0.168,0,"0","AIM1"
