"sender","receiver","ligand","receptor","score","interaction"
"CAFs","T-cells","LGALS1","CD69",480.414325603328,"LGALS1 -> CD69"
"CAFs","T-cells","COL1A1","CD44",424.985342135305,"COL1A1 -> CD44"
"CAFs","T-cells","CXCL14","CXCR4",366.867222250192,"CXCL14 -> CXCR4"
"CAFs","T-cells","COL1A2","CD44",320.497810886617,"COL1A2 -> CD44"
"CAFs","T-cells","LGALS1","PTPRC",289.484700163908,"LGALS1 -> PTPRC"
"CAFs","T-cells","CXCL12","CXCR4",208.645430823224,"CXCL12 -> CXCR4"
"CAFs","T-cells","B2M","KLRD1",172.008598869276,"B2M -> KLRD1"
"CAFs","T-cells","COL1A1","ITGB1",159.725342689834,"COL1A1 -> ITGB1"
"CAFs","T-cells","B2M","TAP1",155.865086322693,"B2M -> TAP1"
"CAFs","T-cells","HMGB1","CXCR4",150.313641071982,"HMGB1 -> CXCR4"
"Cancer Epithelial","Myeloid","MIF","CD74",3478.80356686674,"MIF -> CD74"
"Cancer Epithelial","Myeloid","APP","CD74",448.066462003477,"APP -> CD74"
"Cancer Epithelial","Myeloid","S100A8","CD68",239.741283548175,"S100A8 -> CD68"
"Cancer Epithelial","Myeloid","S100A9","CD68",213.195723620755,"S100A9 -> CD68"
"Cancer Epithelial","Myeloid","COPA","CD74",158.322292368636,"COPA -> CD74"
"Cancer Epithelial","Myeloid","RPS19","C5AR1",126.497660411842,"RPS19 -> C5AR1"
"Cancer Epithelial","Myeloid","S100A8","ITGB2",103.210879066752,"S100A8 -> ITGB2"
"Cancer Epithelial","Myeloid","S100A9","ITGB2",91.7827656651753,"S100A9 -> ITGB2"
"Cancer Epithelial","Myeloid","HLA-DMA","CD74",77.1795519775512,"HLA-DMA -> CD74"
"Cancer Epithelial","Myeloid","MIF","CXCR4",74.7425672361809,"MIF -> CXCR4"
"Myeloid","Cancer Epithelial","HLA-DRA","CD9",562.661922937701,"HLA-DRA -> CD9"
"Myeloid","Cancer Epithelial","HLA-DRA","CD63",404.887403032494,"HLA-DRA -> CD63"
"Myeloid","Cancer Epithelial","APOE","APP",103.450560959834,"APOE -> APP"
"Myeloid","Cancer Epithelial","B2M","TAP1",93.6117250511291,"B2M -> TAP1"
"Myeloid","Cancer Epithelial","HLA-DRA","CD82",91.1883162650903,"HLA-DRA -> CD82"
"Myeloid","Cancer Epithelial","HLA-DRB1","CD82",54.903442100308,"HLA-DRB1 -> CD82"
"Myeloid","Cancer Epithelial","LGALS3","ANXA2",51.0409348858067,"LGALS3 -> ANXA2"
"Myeloid","Cancer Epithelial","HLA-A","APLP2",41.9986743246708,"HLA-A -> APLP2"
"Myeloid","Cancer Epithelial","CTSD","APP",38.6152301452033,"CTSD -> APP"
"Myeloid","Cancer Epithelial","HLA-DRA","CD81",37.8004159443254,"HLA-DRA -> CD81"
